x,y,z,Date
1.15,1.94,327.50,23-08-2023 13:53:10.790
1.33,2.17,327.78,23-08-2023 13:53:10.969
1.27,2.63,327.97,23-08-2023 13:53:11.162
1.13,2.41,328.20,23-08-2023 13:53:11.347
1.02,2.26,328.54,23-08-2023 13:53:11.531
1.08,2.26,328.93,23-08-2023 13:53:11.708
1.27,1.89,329.32,23-08-2023 13:53:11.908
1.44,1.32,329.69,23-08-2023 13:53:12.081
1.29,1.31,329.96,23-08-2023 13:53:12.271
0.95,1.94,330.26,23-08-2023 13:53:12.449
0.69,2.51,330.68,23-08-2023 13:53:12.648
0.60,2.68,331.18,23-08-2023 13:53:12.814
0.80,2.85,331.67,23-08-2023 13:53:13.001
1.29,2.27,332.13,23-08-2023 13:53:13.197
1.47,1.71,332.62,23-08-2023 13:53:13.436
1.22,1.81,333.05,23-08-2023 13:53:13.559
1.10,1.96,333.49,23-08-2023 13:53:13.730
1.11,2.10,334.09,23-08-2023 13:53:13.927
1.01,1.94,334.72,23-08-2023 13:53:14.092
1.02,1.55,335.24,23-08-2023 13:53:14.280
1.32,1.43,335.76,23-08-2023 13:53:14.468
1.44,1.87,336.27,23-08-2023 13:53:14.656
1.12,2.71,336.79,23-08-2023 13:53:14.860
0.82,2.66,337.35,23-08-2023 13:53:15.015
0.78,2.22,337.96,23-08-2023 13:53:15.485
1.02,2.51,338.52,23-08-2023 13:53:15.485
1.21,2.53,339.06,23-08-2023 13:53:15.998
1.30,1.41,339.53,23-08-2023 13:53:16.000
1.21,0.77,339.90,23-08-2023 13:53:16.000
0.77,2.01,340.44,23-08-2023 13:53:16.104
0.67,2.82,341.11,23-08-2023 13:53:16.616
1.17,1.97,341.70,23-08-2023 13:53:16.617
1.61,1.51,342.18,23-08-2023 13:53:16.665
1.29,1.95,342.69,23-08-2023 13:53:16.843
0.93,2.41,343.18,23-08-2023 13:53:17.028
0.94,2.63,343.64,23-08-2023 13:53:17.220
0.84,2.89,344.20,23-08-2023 13:53:17.948
0.78,2.77,344.75,23-08-2023 13:53:17.949
1.09,1.25,345.13,23-08-2023 13:53:18.986
1.44,0.71,345.42,23-08-2023 13:53:18.986
1.40,1.69,345.77,23-08-2023 13:53:18.987
1.14,2.14,346.12,23-08-2023 13:53:18.987
1.09,2.08,346.44,23-08-2023 13:53:18.987
0.99,2.24,346.81,23-08-2023 13:53:18.987
0.89,2.54,347.17,23-08-2023 13:53:18.987
1.08,2.14,347.40,23-08-2023 13:53:19.070
1.30,1.80,347.61,23-08-2023 13:53:19.256
1.21,2.17,347.91,23-08-2023 13:53:19.421
1.04,2.68,348.14,23-08-2023 13:53:19.596
0.84,2.56,348.36,23-08-2023 13:53:19.786
0.77,2.38,348.72,23-08-2023 13:53:20.094
1.05,2.28,348.89,23-08-2023 13:53:20.142
1.40,1.50,348.87,23-08-2023 13:53:20.330
1.40,1.34,348.97,23-08-2023 13:53:20.623
1.16,2.45,349.14,23-08-2023 13:53:20.695
0.99,2.94,349.29,23-08-2023 13:53:20.869
1.06,2.09,349.40,23-08-2023 13:53:21.065
1.20,1.54,349.47,23-08-2023 13:53:21.245
1.19,2.00,349.54,23-08-2023 13:53:21.433
1.10,2.09,349.51,23-08-2023 13:53:21.602
0.88,1.79,349.57,23-08-2023 13:53:21.789
0.73,2.71,349.77,23-08-2023 13:53:21.967
0.86,3.87,349.94,23-08-2023 13:53:22.164
1.15,2.65,350.00,23-08-2023 13:53:22.340
1.19,1.12,350.03,23-08-2023 13:53:22.746
1.14,1.93,350.07,23-08-2023 13:53:22.749
1.32,2.70,350.02,23-08-2023 13:53:22.894
1.28,2.02,350.02,23-08-2023 13:53:23.094
1.01,1.33,350.10,23-08-2023 13:53:23.273
0.90,1.49,350.12,23-08-2023 13:53:23.460
1.05,2.26,350.11,23-08-2023 13:53:23.631
1.31,2.43,350.09,23-08-2023 13:53:23.808
1.45,2.11,349.99,23-08-2023 13:53:23.985
1.11,2.19,349.94,23-08-2023 13:53:24.175
0.77,2.95,349.95,23-08-2023 13:53:24.369
0.75,3.58,349.96,23-08-2023 13:53:24.536
0.86,2.82,349.96,23-08-2023 13:53:24.725
1.19,1.08,349.90,23-08-2023 13:53:24.907
1.41,0.95,349.71,23-08-2023 13:53:25.102
1.13,2.10,349.56,23-08-2023 13:53:25.279
0.82,2.56,349.54,23-08-2023 13:53:25.478
0.97,2.38,349.50,23-08-2023 13:53:25.647
1.22,1.97,349.44,23-08-2023 13:53:25.820
1.39,1.58,349.37,23-08-2023 13:53:26.008
1.40,1.67,349.19,23-08-2023 13:53:26.194
1.15,2.82,349.04,23-08-2023 13:53:26.377
0.95,3.68,349.01,23-08-2023 13:53:26.552
0.92,2.47,348.97,23-08-2023 13:53:26.744
0.85,1.24,348.86,23-08-2023 13:53:26.931
0.77,2.04,348.84,23-08-2023 13:53:27.103
1.00,2.34,348.86,23-08-2023 13:53:27.295
1.38,0.97,348.79,23-08-2023 13:53:27.482
1.38,1.13,348.72,23-08-2023 13:53:27.669
1.07,2.99,348.82,23-08-2023 13:53:27.848
0.87,3.72,349.00,23-08-2023 13:53:28.035
1.02,2.91,349.15,23-08-2023 13:53:28.212
1.50,1.59,349.22,23-08-2023 13:53:28.401
1.68,1.01,349.19,23-08-2023 13:53:28.569
1.33,2.15,349.24,23-08-2023 13:53:28.762
0.88,3.37,349.39,23-08-2023 13:53:28.943
0.72,2.66,349.56,23-08-2023 13:53:29.120
0.68,0.86,349.75,23-08-2023 13:53:29.305
0.91,0.76,349.97,23-08-2023 13:53:29.497
1.34,2.17,350.00,23-08-2023 13:53:29.695
1.54,3.17,349.95,23-08-2023 13:53:29.868
1.16,3.15,350.12,23-08-2023 13:53:30.070
0.87,2.94,350.29,23-08-2023 13:53:30.237
1.07,2.43,350.27,23-08-2023 13:53:30.532
1.14,1.87,350.26,23-08-2023 13:53:30.596
1.00,1.73,350.32,23-08-2023 13:53:30.842
1.09,1.76,350.35,23-08-2023 13:53:30.959
1.29,1.94,350.35,23-08-2023 13:53:31.157
1.27,2.83,350.35,23-08-2023 13:53:31.340
1.09,3.30,350.45,23-08-2023 13:53:31.524
1.10,2.20,350.52,23-08-2023 13:53:31.731
1.14,1.21,350.51,23-08-2023 13:53:31.882
1.15,1.97,350.56,23-08-2023 13:53:32.180
1.22,2.44,350.53,23-08-2023 13:53:32.237
1.03,2.77,350.49,23-08-2023 13:53:32.441
0.68,3.49,350.63,23-08-2023 13:53:32.888
0.72,2.68,350.70,23-08-2023 13:53:32.889
1.09,1.11,350.70,23-08-2023 13:53:32.981
