x,y,z,Date
1.12,0.63,12.76,23-08-2023 13:47:58.270
1.14,2.08,13.01,23-08-2023 13:47:58.450
1.26,2.55,13.12,23-08-2023 13:47:58.629
1.08,1.08,13.25,23-08-2023 13:47:58.836
0.79,1.17,13.43,23-08-2023 13:47:59.376
0.84,3.34,13.59,23-08-2023 13:47:59.377
1.12,3.43,13.72,23-08-2023 13:47:59.405
1.13,2.22,13.86,23-08-2023 13:47:59.763
0.91,2.61,14.07,23-08-2023 13:47:59.763
1.03,2.55,14.23,23-08-2023 13:48:00.073
1.33,1.41,14.26,23-08-2023 13:48:00.247
1.33,1.96,14.30,23-08-2023 13:48:01.389
1.21,2.91,14.41,23-08-2023 13:48:01.389
1.13,2.68,14.49,23-08-2023 13:48:01.389
1.08,2.38,14.56,23-08-2023 13:48:01.394
0.98,2.10,14.68,23-08-2023 13:48:01.394
0.89,1.52,14.81,23-08-2023 13:48:01.471
0.96,1.39,14.96,23-08-2023 13:48:01.492
1.23,1.90,15.02,23-08-2023 13:48:01.593
1.36,1.60,15.01,23-08-2023 13:48:01.949
1.19,1.55,15.05,23-08-2023 13:48:02.002
1.03,2.57,15.11,23-08-2023 13:48:02.430
0.94,2.84,15.09,23-08-2023 13:48:02.431
0.81,2.35,15.01,23-08-2023 13:48:02.506
0.83,2.37,14.94,23-08-2023 13:48:02.664
1.09,3.14,14.85,23-08-2023 13:48:02.861
1.19,3.31,14.74,23-08-2023 13:48:03.031
1.20,2.35,14.75,23-08-2023 13:48:03.258
1.38,2.38,14.73,23-08-2023 13:48:03.659
1.43,2.83,14.61,23-08-2023 13:48:03.659
1.21,1.65,14.49,23-08-2023 13:48:03.775
0.96,0.28,14.50,23-08-2023 13:48:04.274
0.98,0.58,14.56,23-08-2023 13:48:04.275
0.93,1.76,14.58,23-08-2023 13:48:04.306
0.83,2.01,14.64,23-08-2023 13:48:04.576
1.04,2.61,14.68,23-08-2023 13:48:04.752
1.31,3.80,14.53,23-08-2023 13:48:05.097
1.24,3.41,14.40,23-08-2023 13:48:05.260
1.00,2.79,14.42,23-08-2023 13:48:05.295
1.03,3.21,14.38,23-08-2023 13:48:05.446
1.02,2.51,14.25,23-08-2023 13:48:05.620
0.74,0.93,14.18,23-08-2023 13:48:05.780
0.76,1.43,14.18,23-08-2023 13:48:06.011
1.20,2.56,14.05,23-08-2023 13:48:06.154
1.37,1.71,13.86,23-08-2023 13:48:06.346
1.28,1.11,13.80,23-08-2023 13:48:06.524
1.41,2.40,13.77,23-08-2023 13:48:06.706
1.51,3.50,13.64,23-08-2023 13:48:06.892
1.14,2.56,13.54,23-08-2023 13:48:07.058
0.72,1.73,13.57,23-08-2023 13:48:07.261
0.78,2.18,13.53,23-08-2023 13:48:07.424
1.07,1.94,13.29,23-08-2023 13:48:07.627
1.07,1.81,13.01,23-08-2023 13:48:07.827
1.02,2.68,12.78,23-08-2023 13:48:07.983
1.14,3.06,12.62,23-08-2023 13:48:08.497
1.20,2.13,12.46,23-08-2023 13:48:08.497
1.07,1.67,12.28,23-08-2023 13:48:08.545
0.92,2.51,12.21,23-08-2023 13:48:08.712
0.91,2.65,12.13,23-08-2023 13:48:08.910
1.02,1.81,11.92,23-08-2023 13:48:09.094
1.16,2.22,11.80,23-08-2023 13:48:09.393
1.33,2.71,11.72,23-08-2023 13:48:09.587
1.40,1.47,11.55,23-08-2023 13:48:09.727
1.35,1.12,11.28,23-08-2023 13:48:09.819
1.14,2.47,11.00,23-08-2023 13:48:10.001
0.96,3.30,10.79,23-08-2023 13:48:10.185
0.96,3.00,10.69,23-08-2023 13:48:10.375
1.01,2.57,10.65,23-08-2023 13:48:10.550
1.10,2.04,10.63,23-08-2023 13:48:10.727
1.05,1.76,10.55,23-08-2023 13:48:10.916
0.91,2.17,10.45,23-08-2023 13:48:11.097
0.84,2.06,10.42,23-08-2023 13:48:11.280
0.89,1.69,10.38,23-08-2023 13:48:11.459
1.13,2.37,10.30,23-08-2023 13:48:11.656
1.37,2.59,10.23,23-08-2023 13:48:12.157
1.30,1.57,10.20,23-08-2023 13:48:12.158
0.90,1.98,10.14,23-08-2023 13:48:12.191
0.77,3.84,10.09,23-08-2023 13:48:12.383
0.99,3.53,10.14,23-08-2023 13:48:12.555
1.08,1.82,10.24,23-08-2023 13:48:12.753
1.13,1.26,10.36,23-08-2023 13:48:12.942
1.39,1.96,10.45,23-08-2023 13:48:13.112
1.36,2.15,10.40,23-08-2023 13:48:13.297
1.06,1.72,10.38,23-08-2023 13:48:13.484
0.78,1.42,10.52,23-08-2023 13:48:14.004
0.79,1.55,10.62,23-08-2023 13:48:14.005
0.99,2.66,10.64,23-08-2023 13:48:14.143
0.93,3.97,10.82,23-08-2023 13:48:14.201
0.73,3.39,11.13,23-08-2023 13:48:14.393
0.91,1.18,11.34,23-08-2023 13:48:14.589
1.20,1.53,11.50,23-08-2023 13:48:15.068
1.23,3.57,11.83,23-08-2023 13:48:15.068
