accelZ,Date
-0.03,22-08-2023 14:20:56.069
-0.06,22-08-2023 14:20:56.254
0.03,22-08-2023 14:20:56.436
-0.1,22-08-2023 14:20:56.623
0.06,22-08-2023 14:20:56.800
-0.19,22-08-2023 14:20:56.984
0.09,22-08-2023 14:20:57.166
-0.08,22-08-2023 14:20:57.354
-0.1,22-08-2023 14:20:57.531
-0.1,22-08-2023 14:20:57.721
-0.06,22-08-2023 14:20:57.896
0.11,22-08-2023 14:20:58.088
0.05,22-08-2023 14:20:58.267
-0.01,22-08-2023 14:20:58.450
0.06,22-08-2023 14:20:58.637
-0.06,22-08-2023 14:20:58.822
-0.06,22-08-2023 14:20:58.999
0.01,22-08-2023 14:20:59.184
0.04,22-08-2023 14:20:59.370
0.07,22-08-2023 14:20:59.552
0.13,22-08-2023 14:20:59.740
-0.16,22-08-2023 14:20:59.920
-0.17,22-08-2023 14:21:00.100
0.01,22-08-2023 14:21:00.286
-0.07,22-08-2023 14:21:00.469
0.33,22-08-2023 14:21:00.651
-0.2,22-08-2023 14:21:00.845
-0.16,22-08-2023 14:21:01.015
-0.11,22-08-2023 14:21:01.199
0.01,22-08-2023 14:21:01.387
-0.06,22-08-2023 14:21:01.565
0.21,22-08-2023 14:21:01.748
0.03,22-08-2023 14:21:01.931
-0.11,22-08-2023 14:21:02.115
-0.14,22-08-2023 14:21:02.296
-0.15,22-08-2023 14:21:02.486
0,22-08-2023 14:21:02.665
0,22-08-2023 14:21:02.848
0.08,22-08-2023 14:21:03.040
0.04,22-08-2023 14:21:03.214
-0.03,22-08-2023 14:21:03.397
-0.03,22-08-2023 14:21:03.581
0.04,22-08-2023 14:21:03.765
0.23,22-08-2023 14:21:03.947
-0.1,22-08-2023 14:21:04.132
-0.13,22-08-2023 14:21:04.325
-0.01,22-08-2023 14:21:04.497
-0.1,22-08-2023 14:21:04.685
0.45,22-08-2023 14:21:04.870
0.21,22-08-2023 14:21:05.056
-0.17,22-08-2023 14:21:05.235
-0.11,22-08-2023 14:21:05.419
0,22-08-2023 14:21:05.611
0,22-08-2023 14:21:05.787
0.11,22-08-2023 14:21:05.970
-0.14,22-08-2023 14:21:06.157
-0.2,22-08-2023 14:21:06.338
-0.07,22-08-2023 14:21:06.520
0.07,22-08-2023 14:21:06.700
0.42,22-08-2023 14:21:06.886
-0.28,22-08-2023 14:21:07.069
-0.02,22-08-2023 14:21:07.253
-0.09,22-08-2023 14:21:07.435
0.13,22-08-2023 14:21:07.620
-0.03,22-08-2023 14:21:07.799
-0.1,22-08-2023 14:21:07.990
0.39,22-08-2023 14:21:08.170
-0.05,22-08-2023 14:21:08.355
0.06,22-08-2023 14:21:08.536
0.23,22-08-2023 14:21:08.720
0.23,22-08-2023 14:21:08.903
-1.1,22-08-2023 14:21:09.090
0.07,22-08-2023 14:21:09.266
-0.09,22-08-2023 14:21:09.454
-0.05,22-08-2023 14:21:09.633
-0.01,22-08-2023 14:21:09.822
0.15,22-08-2023 14:21:09.999
0,22-08-2023 14:21:10.186
-0.22,22-08-2023 14:21:10.368
-0.01,22-08-2023 14:21:10.554
-0.04,22-08-2023 14:21:10.734
-0.06,22-08-2023 14:21:10.919
0.17,22-08-2023 14:21:11.096
0.09,22-08-2023 14:21:11.290
-0.23,22-08-2023 14:21:11.470
-0.05,22-08-2023 14:21:11.656
0.05,22-08-2023 14:21:11.831
0.08,22-08-2023 14:21:12.015
-0.42,22-08-2023 14:21:12.204
0.7,22-08-2023 14:21:12.386
0.01,22-08-2023 14:21:12.571
0.1,22-08-2023 14:21:12.753
0.01,22-08-2023 14:21:12.933
-0.26,22-08-2023 14:21:13.115
-0.08,22-08-2023 14:21:13.300
-0.21,22-08-2023 14:21:13.481
-0.79,22-08-2023 14:21:13.666
0.33,22-08-2023 14:21:13.851
0.07,22-08-2023 14:21:14.036
0.47,22-08-2023 14:21:14.219
-0.49,22-08-2023 14:21:14.406
-0.33,22-08-2023 14:21:14.604
-0.13,22-08-2023 14:21:14.767
0.06,22-08-2023 14:21:14.948
0.29,22-08-2023 14:21:15.131
-0.77,22-08-2023 14:21:15.316
0.29,22-08-2023 14:21:15.507
-0.09,22-08-2023 14:21:15.688
-0.11,22-08-2023 14:21:15.884
0.34,22-08-2023 14:21:16.061
0.1,22-08-2023 14:21:16.235
-0.27,22-08-2023 14:21:16.414
0.24,22-08-2023 14:21:16.596
0,22-08-2023 14:21:16.788
-0.01,22-08-2023 14:21:16.973
-0.04,22-08-2023 14:21:17.164
-0.02,22-08-2023 14:21:17.337
-0.06,22-08-2023 14:21:17.521
0,22-08-2023 14:21:17.697
-0.1,22-08-2023 14:21:17.883
-0.05,22-08-2023 14:21:18.071
-0.03,22-08-2023 14:21:18.248
-0.03,22-08-2023 14:21:18.613
-0.03,22-08-2023 14:21:18.614
-0.01,22-08-2023 14:21:18.799
-0.08,22-08-2023 14:21:18.984
-0.02,22-08-2023 14:21:19.171
0.02,22-08-2023 14:21:19.349
0.09,22-08-2023 14:21:19.539
-0.03,22-08-2023 14:21:19.724
-0.01,22-08-2023 14:21:19.905
-0.06,22-08-2023 14:21:20.083
0.07,22-08-2023 14:21:20.269
0.07,22-08-2023 14:21:20.458
-0.39,22-08-2023 14:21:20.636
-0.13,22-08-2023 14:21:20.815
-0.1,22-08-2023 14:21:21.003
-0.07,22-08-2023 14:21:21.184
0.16,22-08-2023 14:21:21.369
-0.18,22-08-2023 14:21:21.553
-0.22,22-08-2023 14:21:21.735
-0.2,22-08-2023 14:21:21.915
-0.07,22-08-2023 14:21:22.103
-0.09,22-08-2023 14:21:22.284
-0.2,22-08-2023 14:21:22.466
0.08,22-08-2023 14:21:22.654
0.06,22-08-2023 14:21:22.837
-0.13,22-08-2023 14:21:23.019
0.04,22-08-2023 14:21:23.206
0.1,22-08-2023 14:21:23.401
-0.09,22-08-2023 14:21:23.580
-0.05,22-08-2023 14:21:23.748
-0.07,22-08-2023 14:21:23.942
-0.06,22-08-2023 14:21:24.119
-0.03,22-08-2023 14:21:24.305
-0.05,22-08-2023 14:21:24.481
-0.07,22-08-2023 14:21:24.673
0.03,22-08-2023 14:21:24.855
0.01,22-08-2023 14:21:25.030
-0.13,22-08-2023 14:21:25.219
0.01,22-08-2023 14:21:25.402
